频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
WMGT-TV News (Macon GA) (720p),https://townnews.g-mana.live/media/e6909128-cd42-4690-8340-4b8a49455666/main.m3u8,WMGTDT1.us@SD,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/NBC_logo_2022_%28vertical%29.svg/512px-NBC_logo_2022_%28vertical%29.svg.png,Undefined,640x360,iptv-org-all.txt,177,200,成功,h264,640x360,29.97002997002997,有音频,2.589,是,否,1.0000,
Vox w Rytmie Hitow (1080i),https://s-pl-01.mediatool.tv/playout/vxpl-abr/index.m3u8,VoxwRytmieHitow.pl@FAST,,,,https://i.imgur.com/uWLsiOq.png,Music,1920x1080,iptv-org-all.txt,2408,200,成功,h264,1920x1080,50.0,有音频,10.568,是,否,1.0000,
