频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8,,大湾区卫视,,,,,
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8,,天津卫视,,,,,
天津卫视,http://222.169.85.8:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0,,天津卫视,,,,,
奎屯哈萨克语,http://218.84.12.186:8002/hls/main/playlist.m3u8?zxinjd,,奎屯哈萨克语,,,,,
奎屯汉语,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd,,奎屯汉语,,,,,
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8,,安多卫视,,,,,
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true,,山西卫视,,,,,
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8,,山西卫视,,,,,
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed,,嵊州新闻综合,,,,,
平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8?zzhed,,平湖新闻综合,,,,,
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8?zzhed,,平湖民生休闲,,,,,
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0,,广东卫视,,,,,
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8#,,延边卫视,,,,,
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8,,延边卫视,,,,,
支持作者,https://vd2.bdstatic.com/mda-sctj0f6r4u1bpebc/1080p/cae_h264/1774706523506678171/mda-sctj0f6r4u1bpebc.mp4,,支持作者,,,,,
敦化一套,http://stream8.jlntv.cn/dhtv/playlist.m3u8?zjild,,敦化一套,,,,,
数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8,,数码时代,,,,,
新疆卫视,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd;http://218.84.12.186:8001/hls/main/playlist.m3u8zxinjd,,新疆卫视,,,,,
柳河,http://stream5.jlntv.cn/lh/sd/live.m3u8?zjild,,柳河,,,,,
桦甸,http://stream10.jlntv.cn/huadian/sd/live.m3u8?zjild,,桦甸,,,,,
武义新闻综合,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8?zzhed,,武义新闻综合,,,,,
江津新闻,http://222.179.155.21:1935/ch1.m3u8?zzhongqd,,江津新闻,,,,,
汪清,http://stream5.jlntv.cn/wq/sd/live.m3u8?zjild,,汪清,,,,,
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8,,浙江卫视,,,,,
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8,,浙江卫视,,,,,
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8,,浙江卫视,,,,,
