频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
安徽卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225739/1.m3u8,https://kakaxi-1.asia/LOGO/安徽卫视.png,安徽卫视,,,卫视频道,,
山东卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225733/1.m3u8,https://kakaxi-1.asia/LOGO/山东卫视.png,山东卫视,,,卫视频道,,
辽宁卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225747/1.m3u8,https://kakaxi-1.asia/LOGO/辽宁卫视.png,辽宁卫视,,,卫视频道,,
黑龙江卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225722/1.m3u8,https://kakaxi-1.asia/LOGO/黑龙江卫视.png,黑龙江卫视,,,卫视频道,,
吉林卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226149/1.m3u8,https://kakaxi-1.asia/LOGO/吉林卫视.png,吉林卫视,,,卫视频道,,
内蒙古卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226011/1.m3u8,https://kakaxi-1.asia/LOGO/内蒙古卫视.png,内蒙古卫视,,,卫视频道,,
宁夏卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226092/1.m3u8,https://kakaxi-1.asia/LOGO/宁夏卫视.png,宁夏卫视,,,卫视频道,,
山西卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226113/1.m3u8,https://kakaxi-1.asia/LOGO/山西卫视.png,山西卫视,,,卫视频道,,
陕西卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226086/1.m3u8,https://kakaxi-1.asia/LOGO/陕西卫视.png,陕西卫视,,,卫视频道,,
甘肃卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226090/1.m3u8,https://kakaxi-1.asia/LOGO/甘肃卫视.png,甘肃卫视,,,卫视频道,,
青海卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226105/1.m3u8,https://kakaxi-1.asia/LOGO/青海卫视.png,青海卫视,,,卫视频道,,
新疆卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226088/1.m3u8,https://kakaxi-1.asia/LOGO/新疆卫视.png,新疆卫视,,,卫视频道,,
西藏卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226012/1.m3u8,https://kakaxi-1.asia/LOGO/西藏卫视.png,西藏卫视,,,卫视频道,,
厦门卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226008/1.m3u8,https://kakaxi-1.asia/LOGO/厦门卫视.png,厦门卫视,,,卫视频道,,
