频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度,是否假源,是否轮回,轮回相似度,轮回波动
,http://tvpull.dxhmt.cn:9081/tv/11081-2.m3u8,,,0.082,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11324-1.m3u8,,,0.095,,,,,无音频,error,0.0,False,False,0,0
,http://live2.qxndt.com/ggpd/sd/live.m3u8,,,0.678,,,,,无音频,error,0.0,False,False,0,0
,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8,,,0.425,,,,,无音频,error,0.0,False,False,0,0
,http://35848.hlsplay.aodianyun.com/guangdianyun_35848/tv_channel_350.flv?auth_key=1936694127-0-0-f081dadf4de8780d84d51755eb65e516,,,0.909,,,,,无音频,error,0.0,False,False,0,0
,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8,,,0.105,,,,,无音频,error,0.0,False,False,0,0
,http://yizheng-tv-hls.cm.jstv.com/yizheng-tv/yzshsh.m3u8,,,1.101,,,,,无音频,error,0.0,False,False,0,0
,http://hls.quklive.com/live/1577759346099941/index.m3u8,,,0.740,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11727-1.m3u8,,,0.081,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10200-3.m3u8,,,0.069,,,,,无音频,error,0.0,False,False,0,0
,https://hls.quklive.com/live/1551751256158751/index.m3u8,,,1.491,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8,,,0.076,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11221-1.m3u8,,,0.069,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn/tv/11081-2.m3u8,,,0.080,,,,,无音频,error,0.0,False,False,0,0
,http://live.jinchuanrmt.com:90/live/zhxw.m3u8,,,2.299,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv1/sd/live.m3u8,,,0.543,,,,,无音频,error,0.0,False,False,0,0
,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8,,,1.882,,,,,无音频,error,0.0,False,False,0,0
,https://hls.quklive.com/live/1551751084371710/index.m3u8,,,1.551,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10322-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11326-1.m3u8,,,7.301,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,https://hls.quklive.com/live/1551750947083772/index.m3u8,,,1.548,,,,,无音频,error,0.0,False,False,0,0
,http://live.gprmt.cn/gpnews/hd/live.m3u8,,,1.384,,,,,无音频,error,0.0,False,False,0,0
,http://123.6.9.146/live/jz-henanliyuan/live.m3u8,,,1.547,,,,,无音频,error,0.0,False,False,0,0
,https://suyu-tv-hls.cm.jstv.com/suyu-tv/syzhpd.m3u8,,,1.274,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11681-1.m3u8,,,0.074,,,,,无音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv2/sd/live.m3u8,,,0.557,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10200-2.m3u8,,,8.512,,h264,720x576,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11003-1.m3u8,,,0.068,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kksinj/1300000/mnf.m3u8,,,0.751,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11722-1.m3u8,,,0.076,,,,,无音频,error,0.0,False,False,0,0
,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8,,,0.089,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11621-1.m3u8,,,5.514,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8,,,0.071,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11625-1.m3u8,,,0.073,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11024-1.m3u8,,,5.605,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkwunj/1300000/mnf.m3u8,,,0.498,,,,,无音频,error,0.0,False,False,0,0
,http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8,,,0.581,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11025-1.m3u8,,,0.079,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8,,,0.074,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10326-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10106-1.m3u8,,,0.070,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8,,,0.076,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8,,,0.085,,,,,无音频,error,0.0,False,False,0,0
,http://123.6.9.146/live/jz-henanwenwu/live.m3u8,,,0.535,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10622-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8,,,0.945,,,,,无音频,error,0.0,False,False,0,0
,http://pili-live-hls.hfmt.net/gntv/gnzytv.m3u8,,,15.357,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10923-1.m3u8,,,0.071,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkliunj/1300000/mnf.m3u8,,,0.770,,,,,无音频,error,0.0,False,False,0,0
,http://stream2.xiancity.cn/xatv3/sd/live.m3u8,,,1.029,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10522-1.m3u8,,,0.070,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8,,,0.069,,,,,无音频,error,0.0,False,False,0,0
,http://zhpull.dxhmt.cn/jiaozuo/9c10435ad24c409baee219ec289e17d0/playlist.m3u8,,,0.091,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11723-1.m3u8,,,10.361,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11081-1.m3u8,,,10.075,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11725-1.m3u8,,,10.225,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10523-1.m3u8,,,0.071,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8,,,0.074,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10621-1.m3u8,,,0.078,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8,,,0.076,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11728-1.m3u8,,,0.073,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkqinj/1300000/mnf.m3u8,,,0.885,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8,,,0.069,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/19001-1.m3u8,,,9.455,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10882-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10322-2.m3u8,,,11.490,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11624-1.m3u8,,,15.654,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10423-1.m3u8,,,0.068,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10823-1.m3u8,,,0.067,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11525-1.m3u8,,,0.070,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11681-1.m3u8,,,9.179,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10325-1.m3u8,,,0.073,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10883-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkbanj/1300000/mnf.m3u8,,,0.910,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8,,,0.068,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10922-1.m3u8,,,0.067,,,,,无音频,error,0.0,False,False,0,0
,http://livesdong.chinamcache.com/sddst/zb01.flv?auth_key=1651114357-0-0-47fab624b80c8467784cb2f2ff5e6d2c,,,1.221,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10183-2.m3u8,,,0.070,,,,,无音频,error,0.0,False,False,0,0
,http://h5.baojinews.com/m3u8/baojitv1.m3u8,,,1.695,,,,,无音频,error,0.0,False,False,0,0
,http://play-dgv-xhncloud.voc.com.cn/live/5243_FuchqK.m3u8,,,0.875,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10221-1.m3u8,,,0.069,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11625-1.m3u8,,,9.038,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11281-1.m3u8,,,10.001,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafengyt.m3u8,,,0.542,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8,,,0.072,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10724-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkjiunj/1300000/mnf.m3u8,,,0.850,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/11221-1.m3u8,,,14.628,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://video.dztv.tv:1935/live/dztw_gq/playlist.m3u8,,,1.955,,,,,无音频,error,0.0,False,False,0,0
,http://h5.baojinews.com/m3u8/baojitv2.m3u8,,,2.832,,,,,无音频,error,0.0,False,False,0,0
,http://live1.gatv.com.cn:85/live/XWZH.m3u8,,,8.649,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8,,,3.722,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9080/live/yshnpre.m3u8,,,18.118,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://play-dgv-xhncloud.voc.com.cn/live/5243_PREfDG.m3u8,,,1.150,,,,,无音频,error,0.0,False,False,0,0
,http://stream.tstvxmt.com/tstv1/sd/live.m3u8,,,0.779,,,,,无音频,error,0.0,False,False,0,0
,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/huaiyinf.m3u8,,,0.307,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8,,,0.499,,,,,无音频,error,0.0,False,False,0,0
,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8,,,0.849,,,,,无音频,error,0.0,False,False,0,0
,http://pili-live-hls.poyang.jxxw.com.cn/pyxrmtzx/poyang.m3u8,,,15.629,,,,,无音频,error,0.0,False,False,0,0
,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/hyys.m3u8,,,0.106,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10222-1.m3u8,,,0.073,,,,,无音频,error,0.0,False,False,0,0
,http://zbxclive.cbg.cn:1935/app_2/ls_105.stream/playlist.m3u8,,,3.224,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8,,,0.079,,,,,无音频,error,0.0,False,False,0,0
,http://pili-live-hls.hebitv.com/hebi/hebi.m3u8,,,13.802,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11327-1.m3u8,,,0.070,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10482-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10526-2.m3u8,,,0.068,,,,,无音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10327-1.m3u8,,,6.205,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10522-1.m3u8,,,6.743,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://live.dxhmt.cn:9081/tv/10225-1.m3u8,,,8.166,,h264,1920x1080,25.0,有音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8,,,0.072,,,,,无音频,error,0.0,False,False,0,0
,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8,,,0.305,,,,,无音频,error,0.0,False,False,0,0
,http://live.rzw.com.cn/xwzh/sd/live.m3u8,,,0.442,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/10184-1.m3u8,,,0.075,,,,,无音频,error,0.0,False,False,0,0
,http://tvpull.dxhmt.cn:9081/tv/11527-1.m3u8,,,0.070,,,,,无音频,error,0.0,False,False,0,0
,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoernj/1300000/mnf.m3u8,,,0.535,,,,,无音频,error,0.0,False,False,0,0
,http://play-dgv-xhncloud.voc.com.cn/live/5243_8NbUnK.m3u8,,,0.724,,,,,无音频,error,0.0,False,False,0,0
