频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
豆腐芭比6478650,https://live.ottiptv.cc/douyu/6478650,,,,,,,,,,1920x1080,tvbwipv_4.txt,1274,200,成功,h264,1920x1080,30.0,有音频,1.679
晓晓666666 426517,https://live.ottiptv.cc/douyu/426517,,,,,,,,,,1920x1080,tvbwipv_4.txt,1095,200,成功,h264,1920x1080,30.0,有音频,0.910
mn静静nm5668371,https://live.ottiptv.cc/douyu/5668371,,,,,,,,,,1920x1080,tvbwipv_4.txt,1074,200,成功,h264,1920x1080,30.0,有音频,0.936
一把钢刀镇斗虞7356023,https://live.ottiptv.cc/douyu/7356023,,,,,,,,,,,tvbwipv_4.txt,1965,200,成功,h264,,30.0,有音频,2.008
CF穿越火线,https://live.ottiptv.cc/douyu/5388537,,,,,,,,,,1920x1080,tvbwipv_4.txt,1402,200,成功,h264,1920x1080,30.0,有音频,0.931
Poison丶冰冰74374,https://live.ottiptv.cc/douyu/74374,,,,,,,,,,1280x720,tvbwipv_4.txt,2342,200,成功,h264,1280x720,60.0,有音频,2.291
牛叔说电影2758565,https://live.ottiptv.cc/douyu/2758565,,,,,,,,,,1280x720,tvbwipv_4.txt,2077,200,成功,h264,1280x720,23.25,有音频,2.583
贾贵队长真男神299854,https://live.ottiptv.cc/douyu/299854,,,,,,,,,,1440x900,tvbwipv_4.txt,2383,200,成功,h264,1440x900,30.0,有音频,1.765
小毅主播e11851549,https://live.ottiptv.cc/douyu/11851549,,,,,,,,,,1280x720,tvbwipv_4.txt,2355,200,成功,h264,1280x720,30.0,有音频,2.803
米尼影院7642724,https://live.ottiptv.cc/douyu/7642724,,,,,,,,,,960x540,tvbwipv_4.txt,2348,200,成功,h264,960x540,30.0,有音频,2.841
我砸晕了牛顿奥1218414,https://live.ottiptv.cc/douyu/1218414,,,,,,,,,,1280x720,tvbwipv_4.txt,1911,200,成功,h264,1280x720,25.0,有音频,2.858
过往1908 8721095,https://live.ottiptv.cc/douyu/8721095,,,,,,,,,,1920x1080,tvbwipv_4.txt,954,200,成功,h264,1920x1080,30.0,有音频,0.950
跑跑卡丁车,https://live.ottiptv.cc/douyu/7722576,,,,,,,,,,1920x1080,tvbwipv_4.txt,2928,200,成功,h264,1920x1080,62.5,有音频,3.204
粤语电影丶1226741,https://live.ottiptv.cc/douyu/1226741,,,,,,,,,,1280x720,tvbwipv_4.txt,2411,403,成功,h264,1280x720,30.0,有音频,2.158
万事通熊猫7812810,https://live.ottiptv.cc/douyu/7812810,,,,,,,,,,1280x720,tvbwipv_4.txt,2391,200,成功,h264,1280x720,30.0,有音频,2.138
师落6911044,https://live.ottiptv.cc/douyu/6911044,,,,,,,,,,1280x720,tvbwipv_4.txt,2393,200,成功,h264,1280x720,30.0,有音频,1.855
云顶之弈,https://live.ottiptv.cc/douyu/522423,,,,,,,,,,1920x1080,tvbwipv_4.txt,3192,200,成功,h264,1920x1080,60.0,有音频,2.563
奇光主播e11849873,https://live.ottiptv.cc/douyu/11849873,,,,,,,,,,1280x720,tvbwipv_4.txt,2398,403,成功,h264,1280x720,30.0,有音频,2.125
Only丶邵氏4246519,https://live.ottiptv.cc/douyu/4246519,,,,,,,,,,1280x720,tvbwipv_4.txt,3220,200,成功,h264,1280x720,30.303030303030305,有音频,2.686
单纯的顺才少爷10084875,https://live.ottiptv.cc/douyu/10084875,,,,,,,,,,1280x720,tvbwipv_4.txt,2447,200,成功,h264,1280x720,30.0,有音频,1.626
7喜先生,https://live.ottiptv.cc/huya/11342421,,,,,,,,,,720x416,tvbwipv_4.txt,1715,200,成功,h264,720x416,60.0,有音频,1.485
cs go,https://live.ottiptv.cc/douyu/601514,,,,,,,,,,1920x1080,tvbwipv_4.txt,2465,403,成功,h264,1920x1080,60.0,有音频,1.354
周星星,https://live.ottiptv.cc/huya/11342412,,,,,,,,,,1920x1080,tvbwipv_4.txt,1764,200,成功,h264,1920x1080,60.0,有音频,2.176
网神影厅508118,https://live.ottiptv.cc/douyu/508118,,,,,,,,,,1280x720,tvbwipv_4.txt,2191,403,成功,h264,1280x720,30.0,有音频,2.502
伊太刀刀747764,https://live.ottiptv.cc/douyu/747764,,,,,,,,,,,tvbwipv_4.txt,2571,200,成功,h264,,30.0,有音频,2.001
绝地求生,https://live.ottiptv.cc/douyu/100,,,,,,,,,,1920x1080,tvbwipv_4.txt,2574,200,成功,h264,1920x1080,60.0,有音频,2.062
苹果Zei妖2793084,https://live.ottiptv.cc/douyu/2793084,,,,,,,,,,1280x720,tvbwipv_4.txt,2069,200,成功,h264,1280x720,25.0,有音频,2.593
懒猫是只喵260322,https://live.ottiptv.cc/douyu/260322,,,,,,,,,,1280x720,tvbwipv_4.txt,2340,200,成功,h264,1280x720,30.0,有音频,2.116
王者荣耀,https://live.ottiptv.cc/douyu/1863767,,,,,,,,,,1920x1080,tvbwipv_4.txt,2717,200,成功,h264,1920x1080,60.0,有音频,2.137
聚聚聚一个月4105989,https://live.ottiptv.cc/douyu/4105989,,,,,,,,,,1280x720,tvbwipv_4.txt,2343,200,成功,h264,1280x720,30.0,有音频,2.126
苹果Zei甜1174353,https://live.ottiptv.cc/douyu/1174353,,,,,,,,,,1280x720,tvbwipv_4.txt,2069,200,成功,h264,1280x720,25.0,有音频,1.840
萌小鬼3928,https://live.ottiptv.cc/douyu/3928,,,,,,,,,,1920x1080,tvbwipv_4.txt,2752,200,成功,h264,1920x1080,30.0,有音频,2.105
