频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[HD]pluto tv classic movies,https://t.freetv.fun/live/pluto-tv-classic-movies.m3u8,,Classic Movies,United States,United States,https://epg.pw/media/uploads/tmp_logo/2014/05/19/20140519075921354843_41.png,Movies,426x240,freetv-fun-all.txt,19,403,成功,h264,426x240,30.0,有音频,3.638
[BD]gong,https://t.freetv.fun/live/gong-1.m3u8,,GONG TV,France,France,https://epg.pw/media/uploads/tmp_logo/2015/11/30/20151130205759744461_91.jpg,Entertainment,1920x1080,freetv-fun-all.txt,23,403,成功,h264,1920x1080,25.0,有音频,6.974
[HD]uranio tv,https://t.freetv.fun/live/uranio-tv-1.m3u8,,Quran TV,Saudi Arabia,Saudi Arabia,https://epg.pw/media/uploads/tmp_logo/2015/07/22/20150722095254463635_91.png,Other,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,29.97002997002997,有音频,3.255
[VGA]atv colombia,https://t.freetv.fun/live/atv-colombia.m3u8,,Hosanna Vision Colombia,Colombia,Colombia,https://epg.pw/media/images/channel/2022/05/06/large/20220506173813571454_94.png,Entertainment,640x360,freetv-fun-all.txt,19,403,成功,h264,640x360,29.97002997002997,有音频,1.780
[HD]ning tv,https://t.freetv.fun/live/ning-tv-1.m3u8,,DJING TV,United States,United States,https://epg.pw/media/uploads/tmp_logo/2015/09/25/20150925155650329558_72.png,Entertainment,1280x720,freetv-fun-all.txt,20,403,成功,h264,1280x720,29.97002997002997,有音频,1.142
[BD]retv,https://t.freetv.fun/live/retv.m3u8,,REDTV,Other,Other,https://epg.pw/media/images/channel/2022/05/27/large/20220527020708857481_82.png,Movies,640x360,freetv-fun-all.txt,15,403,成功,h264,640x360,25.0,有音频,10.239
[BD]nature time france,https://t.freetv.fun/live/nature-time-france.m3u8,,France 0 (FR),France,France,https://epg.pw/media/,Generic,1920x1080,freetv-fun-all.txt,24,403,成功,h264,1920x1080,25.0,有音频,3.645
[HD]the pet collective international,https://t.freetv.fun/live/the-pet-collective-international-2.m3u8,,LBC International,Lebanon,Lebanon,https://epg.pw/media/images/channel/2022/05/06/large/20220506174912035196_59.png,Generic,1280x720,freetv-fun-all.txt,22,403,成功,h264,1280x720,29.97002997002997,有音频,2.766
[SD]pluto tv retro kid,https://t.freetv.fun/live/pluto-tv-retro-kid.m3u8,,RETRO TV,United States,United States,https://epg.pw/media/img/logo/1_118.jpg,Other,426x240,freetv-fun-all.txt,12,403,成功,h264,426x240,30.0,有音频,3.292
[HD]rai news 24,https://t.freetv.fun/live/rai-news-24.m3u8,,Rai News 24,Italy,Italy,https://epg.pw/media/images/channel/2022/05/06/large/20220506174021801258_80.png,News,768x432,freetv-fun-all.txt,19,403,成功,h264,768x432,25.0,有音频,7.339
[BD]rt documentary,https://t.freetv.fun/live/rt-documentary-1.m3u8,,CGTN Documentary,China,China,https://epg.pw/media/images/channel/2022/04/29/large/20220429020115798784_73.png,Knowledge,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,3.996
[BD]imam hussein tv 3,https://t.freetv.fun/live/imam-hussein-tv-3-2.m3u8,,IMAM HUSSEIN 2 TV,Iran,Iran,https://epg.pw/media/,Other,1920x1080,freetv-fun-all.txt,22,403,成功,h264,1920x1080,25.0,有音频,2.796
[BD]RTHK32 *sg,https://t.freetv.fun/live/rthk32-sg.m3u8,,RTHK32,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2023/07/19/large/20230719083827856598_33.png,News,1920x1080,freetv-fun-all.txt,294,403,成功,h264,1920x1080,25.0,有音频,3.621
[BD]dw english,https://t.freetv.fun/live/dw-english-2.m3u8,,DW English,Germany,Germany,https://epg.pw/media/images/channel/2024/02/05/large/20240205014234637777_71.png,News,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,50.0,有音频,9.063
[HD]ewtn tv,https://t.freetv.fun/live/ewtn-tv.m3u8,,Etno TV,Romania,Romania,https://epg.pw/media/uploads/tmp_logo/2016/02/01/20160201064922524939_57.png,Entertainment,1252x720,freetv-fun-all.txt,17,403,成功,h264,1252x720,25.0,有音频,3.902
[BD]hbo,https://t.freetv.fun/live/hbo-1.m3u8,,HBO(TW),United States,United States,https://epg.pw/media/images/channel/2024/06/10/large/20240610185422140004_63.png,Movies,1920x1080,freetv-fun-all.txt,296,403,成功,h264,1920x1080,30.0,有音频,2.575
[HD]mtv base *s,https://t.freetv.fun/live/mtv-base-s.m3u8,9449,MTV Base,United Kingdom,United Kingdom,https://epg.pw/media/images/channel/2022/04/13/large/20220413134806714625_30.png,Music,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,25.0,有音频,2.582
[SD]feniks plus kino,https://t.freetv.fun/live/feniks-plus-kino.m3u8,,Feniks+Kino,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2015/11/26/20151126211757211668_70.png,Generic,720x576,freetv-fun-all.txt,23,403,成功,h264,720x576,25.0,有音频,13.290
[BD]myzen fit,https://t.freetv.fun/live/myzen-fit-1.m3u8,,MyZen TV,France,France,https://epg.pw/media/uploads/tmp_logo/2015/04/03/20150403222251317649_98.jpg,Entertainment,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,25.0,有音频,6.950
[VGA]OUtdoor *a,https://t.freetv.fun/live/outdoor-a.m3u8,,Outdoor Channel,United States,United States,https://epg.pw/media/images/channel/2025/01/28/large/20250128061422478101_60.jpg,Knowledge,854x480,freetv-fun-all.txt,22,403,成功,h264,854x480,25.0,有音频,2.185
[SD]csi,https://t.freetv.fun/live/csi-2.m3u8,,CSI Web Tv,Italy,Italy,https://epg.pw/media/images/channel/2021/11/02/large/20211102205540041026_31.png,Sports,426x240,freetv-fun-all.txt,21,403,成功,h264,426x240,30.0,有音频,2.135
[BD]kuriakos kids,https://t.freetv.fun/live/kuriakos-kids-1.m3u8,,Kuriakos kids,Portugal,Portugal,https://epg.pw/media/images/channel/2022/01/19/large/20220119220034946726_98.png,Kids,640x360,freetv-fun-all.txt,21,403,成功,h264,640x360,25.0,有音频,9.662
[SD]national geographic wild east (720p),https://t.freetv.fun/live/national-geographic-wild-east-720p.m3u8,6303,National Geographic,Romania,Romania,https://epg.pw/media/images/channel/2022/05/06/large/20220506163824809340_39.png,Knowledge,640x360,freetv-fun-all.txt,17,403,成功,h264,640x360,59.94005994005994,有音频,4.252
[BD]outdoor channel,https://t.freetv.fun/live/outdoor-channel.m3u8,,Outdoor Channel HD,United States,United States,https://epg.pw/media/img/logo/outdoor_channel_hd_1.png,Knowledge,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,29.97002997002997,有音频,5.973
[BD]rakuten tv comedy movies spain,https://t.freetv.fun/live/rakuten-tv-comedy-movies-spain.m3u8,,Comedy Movies HD,United States,United States,https://epg.pw/media/,Movies,1920x1080,freetv-fun-all.txt,22,403,成功,h264,1920x1080,25.0,有音频,5.919
[BD]telesur,https://t.freetv.fun/live/telesur-1.m3u8,,Canal Telesur,Honduras,Honduras,https://epg.pw/media/images/channel/2022/05/06/large/20220506174437413062_94.png,Entertainment,1920x1080,freetv-fun-all.txt,12,403,成功,h264,1920x1080,,有音频,0.798
[BD]lg 1 film,https://t.freetv.fun/live/lg-1-film.m3u8,,Film 1 Spotlight Netherlands,Netherlands,Netherlands,https://epg.pw/media/images/channel/2015/11/30/large/20151130164053852650_51.jpg,Entertainment,1920x1080,freetv-fun-all.txt,24,403,成功,h264,1920x1080,30.0,有音频,3.862
[HD]el pingüino tv,https://t.freetv.fun/live/el-pinguino-tv-1.m3u8,,El Pinguino,Chile,Chile,https://epg.pw/media/uploads/tmp_logo/2017/06/25/20170625145526166324_78.jpg,Generic,1280x720,freetv-fun-all.txt,20,403,成功,h264,1280x720,30.0,有音频,1.384
[HD]canal tv3,https://t.freetv.fun/live/canal-tv3.m3u8,,Canal 3,Moldova,Moldova,https://epg.pw/media/images/channel/2022/05/06/large/20220506174522009953_10.png,Generic,1280x720,freetv-fun-all.txt,20,403,成功,h264,1280x720,29.97002997002997,有音频,2.916
[HD]teen nick,https://t.freetv.fun/live/teen-nick.m3u8,,Nick HD,United States,United States,https://epg.pw/media/images/channel/2023/07/20/large/20230720002406264182_29.jpg,Kids,426x240,freetv-fun-all.txt,22,403,成功,h264,426x240,30.0,有音频,2.682
[VGA]ebs plus 2 ⓢ,https://t.freetv.fun/live/ebs-plus-2-s.m3u8,,EBS Plus 2,Korea,Korea,https://epg.pw/media/images/channel/2022/12/24/large/20221224164925687381_59.jpeg,News,720x400,freetv-fun-all.txt,22,403,成功,h264,720x400,29.97002997002997,有音频,3.708
[BD]rtb sukmaindera,https://t.freetv.fun/live/rtb-sukmaindera.m3u8,,RTB Sukmaindera,Brunei,Brunei,https://epg.pw/media/images/channel/2020/07/26/large/20200726144349728969_43.png,Generic,1920x1080,freetv-fun-all.txt,296,403,成功,h264,1920x1080,25.0,有音频,1.375
[BD]cgtn documentary,https://t.freetv.fun/live/cgtn-documentary-3.m3u8,,CGTN Documentary,China,China,https://epg.pw/media/images/channel/2022/04/29/large/20220429020115798784_73.png,Knowledge,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,25.0,有音频,2.484
[BD]tvp info,https://t.freetv.fun/live/tvp-info.m3u8,6644,Kino TV,Croatia,Croatia,https://epg.pw/media/uploads/tmp_logo/2014/09/19/20140919015135923329_94.jpg,Movies,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,25.0,有音频,2.921
[SD]ocko tv,https://t.freetv.fun/live/ocko-tv.m3u8,7532,Rock TV,Romania,Romania,https://epg.pw/media/images/channel/2021/06/24/large/20210624004051287373_44.png,Entertainment,960x540,freetv-fun-all.txt,18,403,成功,h264,960x540,25.0,有音频,2.337
[SD]classic movies channel,https://t.freetv.fun/live/classic-movies-channel-1.m3u8,,Classic Movies,United States,United States,https://epg.pw/media/uploads/tmp_logo/2014/05/19/20140519075921354843_41.png,Movies,426x240,freetv-fun-all.txt,19,403,成功,h264,426x240,30.0,有音频,1.389
[BD]comedy tv,https://t.freetv.fun/live/comedy-tv-2.m3u8,,Comedy TV Russia,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2014/05/30/20140530192249250718_54.png,Movies,384x216,freetv-fun-all.txt,21,403,成功,h264,384x216,29.97002997002997,有音频,3.008
[BD]love magazine,https://t.freetv.fun/live/love-magazine.m3u8,,Magazine,Argentina,Argentina,https://epg.pw/media/uploads/tmp_logo/2015/07/01/20150701230116306043_67.jpg,Entertainment,1920x1080,freetv-fun-all.txt,15,403,成功,h264,1920x1080,25.0,有音频,7.473
[BD]france 24 ar,https://t.freetv.fun/live/france-24-ar-1.m3u8,,France 24 (French),France,France,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104841185612_92.png,News,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,0.903
[HD]france 24 ar,https://t.freetv.fun/live/france-24-ar.m3u8,,France 24 (French),France,France,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104841185612_92.png,News,1280x720,freetv-fun-all.txt,22,403,成功,h264,1280x720,25.0,有音频,2.287
[HD]rock tv,https://t.freetv.fun/live/rock-tv-1.m3u8,7532,Rock TV,Romania,Romania,https://epg.pw/media/images/channel/2021/06/24/large/20210624004051287373_44.png,Entertainment,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,25.0,有音频,4.403
[BD]mcot,https://t.freetv.fun/live/mcot.m3u8,,MCOT HD,Thailand,Thailand,https://epg.pw/media/uploads/tmp_logo/2015/07/25/20150725051054870094_61.jpg,Generic,426x240,freetv-fun-all.txt,20,403,成功,h264,426x240,25.0,有音频,13.634
[HD]mtv,https://t.freetv.fun/live/mtv-2.m3u8,,MTV HD(Korea),United States,United States,https://epg.pw/media/images/channel/2017/11/12/large/20171112002356623871_27.png,Music,1280x720,freetv-fun-all.txt,18,403,成功,h264,1280x720,29.97002997002997,有音频,1.930
[BD]cgtn,https://t.freetv.fun/live/cgtn-4.m3u8,,CGTN(Spain),Spain,Spain,https://epg.pw/media/uploads/tmp_logo/2018/05/16/20180516070123835480_63.jpg,News,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,25.0,有音频,0.730
[HD]classica,https://t.freetv.fun/live/classica-1.m3u8,,CLassica,United States,United States,https://epg.pw/media/images/channel/2017/11/23/large/20171123202358057725_47.png,Entertainment,426x240,freetv-fun-all.txt,298,403,成功,h264,426x240,29.97002997002997,有音频,2.324
[HD]ftv,https://t.freetv.fun/live/ftv.m3u8,,FTV BiH,Bosnia,Bosnia,https://epg.pw/media/uploads/tmp_logo/2014/09/19/20140919034234983587_72.jpg,News,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,29.97002997002997,有音频,3.571
[BD]dw,https://t.freetv.fun/live/dw.m3u8,,DW FHD,Germany,Germany,https://epg.pw/media/images/channel/2023/08/04/large/20230804235541065907_59.png,News,1920x1080,freetv-fun-all.txt,16,403,成功,h264,1920x1080,50.0,有音频,0.857
[VGA]dubai racing 3,https://t.freetv.fun/live/dubai-racing-3-1.m3u8,,Dubai Racing 2 TV,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2022/05/06/large/20220506163800003846_85.png,Sports,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,5.274
[BD]logos tv,https://t.freetv.fun/live/logos-tv-2.m3u8,,Logos,Egypt,Egypt,https://epg.pw/media/uploads/tmp_logo/2017/02/15/20170215103339055124_29.jpg,Generic,1920x1080,freetv-fun-all.txt,24,403,成功,h264,1920x1080,50.0,有音频,5.048
[BD]cctv-风云音乐,https://t.freetv.fun/live/cctv-feng-yun-yin-le.m3u8,,CCTV風雲音樂,China,China,https://epg.pw/media/images/channel/2024/07/28/large/20240728222635985513_51.png,Music,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,0.503
[BD]telesur english,https://t.freetv.fun/live/telesur-english-1.m3u8,,DW English,Germany,Germany,https://epg.pw/media/images/channel/2024/02/05/large/20240205014234637777_71.png,News,462x260,freetv-fun-all.txt,17,403,成功,h264,462x260,29.97002997002997,有音频,2.940
[HD]cnn,https://t.freetv.fun/live/cnn-1.m3u8,464857,CNN HD,United States,United States,https://epg.pw/media/images/channel/2019/01/13/large/20190113215800701920_63.jpg,News,1280x720,freetv-fun-all.txt,18,403,成功,h264,1280x720,29.97002997002997,有音频,0.822
[BD]cinema world,https://t.freetv.fun/live/cinema-world-5.m3u8,,Cinema World,Singapore,Singapore,https://epg.pw/media/images/channel/2023/06/03/large/20230603000625090581_44.png,Movies,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,29.97002997002997,有音频,8.988
[VGA]ntd tv,https://t.freetv.fun/live/ntd-tv.m3u8,,NET TV,Kurdistan,Kurdistan,https://epg.pw/media/images/channel/2022/05/06/large/20220506173945800787_75.png,Other,854x480,freetv-fun-all.txt,22,403,成功,h264,854x480,29.97002997002997,有音频,1.116
[HD]nhl network,https://t.freetv.fun/live/nhl-network.m3u8,,NHL Network,United States,United States,https://epg.pw/media/images/channel/2022/06/26/large/20220626164110274832_61.jpg,Sports,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,59.94005994005994,有音频,1.305
[BD]canal e,https://t.freetv.fun/live/canal-e.m3u8,,Canal IPe,Peru,Peru,https://epg.pw/media/images/channel/2021/10/16/large/20211016152150055294_79.png,Kids,426x240,freetv-fun-all.txt,19,403,成功,h264,426x240,30.0,有音频,6.181
[HD]global news,https://t.freetv.fun/live/global-news-1.m3u8,,Global News,Canada,Canada,https://epg.pw/media/images/channel/2024/04/22/large/20240422035430526505_15.png,News,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,29.97002997002997,有音频,0.804
[BD]dance tv,https://t.freetv.fun/live/dance-tv-1.m3u8,,DANCE TV PT,Portugal,Portugal,https://epg.pw/media/uploads/tmp_logo/2017/07/22/20170722220410619348_13.png,Generic,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,25.0,有音频,4.382
[BD]christian youth channel,https://t.freetv.fun/live/christian-youth-channel-1.m3u8,,Christian Youth Channel CYC,United States,United States,https://epg.pw/media/images/channel/2022/05/06/large/20220506174038918186_33.png,Other,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,30.0,有音频,1.518
[BD]newsmax,https://t.freetv.fun/live/newsmax.m3u8,464863,Newsmax,United States,United States,https://epg.pw/media/images/channel/2021/01/21/large/20210121205319348415_63.png,News,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,29.97002997002997,有音频,0.855
[BD]jordan tv,https://t.freetv.fun/live/jordan-tv-1.m3u8,,Jordan TV,Jordan,Jordan,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613183400860882_29.png,Generic,640x360,freetv-fun-all.txt,21,403,成功,h264,640x360,25.0,有音频,10.843
[BD]cnbc europe,https://t.freetv.fun/live/cnbc-europe.m3u8,,LBC Europe,Lebanon,Lebanon,https://epg.pw/media/images/channel/2022/05/27/large/20220527020702363382_36.png,Generic,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,4.710
[BD]ช่อง california music channel,https://t.freetv.fun/live/ch-ng-california-music-channel.m3u8,,California Music Channel,United States,United States,https://epg.pw/media/images/channel/2019/01/06/large/20190106151417112281_33.png,Entertainment,1920x1080,freetv-fun-all.txt,22,403,成功,h264,1920x1080,29.97002997002997,有音频,4.279
[BD]lgtv,https://t.freetv.fun/live/lgtv.m3u8,,GTV (GHANA),Africa,Africa,https://epg.pw/media/uploads/tmp_logo/2015/10/19/20151019150514143371_66.jpg,Generic,1920x1080,freetv-fun-all.txt,20,403,成功,h264,1920x1080,29.97002997002997,有音频,4.128
[SD]regio tv,https://t.freetv.fun/live/regio-tv.m3u8,,Regio TV,Germany,Germany,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613200719649628_15.png,Generic,720x576,freetv-fun-all.txt,20,403,成功,h264,720x576,25.0,有音频,2.486
[VGA]nuview tv,https://t.freetv.fun/live/nuview-tv-1.m3u8,,New TV,Kurdistan,Kurdistan,https://epg.pw/media/uploads/tmp_logo/2016/11/13/20161113074721279475_71.jpg,Movies,,freetv-fun-all.txt,19,403,成功,h264,,,有音频,6.042
[BD]dubai zaman,https://t.freetv.fun/live/dubai-zaman.m3u8,,Dubai Zaman TV,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2022/05/06/large/20220506173835263081_58.png,Generic,498x280,freetv-fun-all.txt,22,403,成功,h264,498x280,25.0,有音频,5.260
[BD]cgtn法语,https://t.freetv.fun/live/cgtnfa-yu.m3u8,,CGTN(Spain),Spain,Spain,https://epg.pw/media/uploads/tmp_logo/2018/05/16/20180516070123835480_63.jpg,News,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,2.002
[HD]fyi tv,https://t.freetv.fun/live/fyi-tv.m3u8,,Fyi,United States,United States,https://epg.pw/media/img/logo/fyi.jpg,Knowledge,1280x720,freetv-fun-all.txt,23,403,成功,h264,1280x720,59.94005994005994,有音频,2.024
[HD]filmzie,https://t.freetv.fun/live/filmzie.m3u8,,Filmazia,India,India,https://epg.pw/media/img/logo/Filmazia.png,Movies,1280x720,freetv-fun-all.txt,18,403,成功,h264,1280x720,29.97002997002997,有音频,2.894
[BD]mega,https://t.freetv.fun/live/mega-2.m3u8,,Mega Cosmos Greece,Greece,Greece,https://epg.pw/media/,Generic,1920x1080,freetv-fun-all.txt,299,403,成功,h264,1920x1080,25.0,有音频,3.364
[BD]imam hussein tv 2,https://t.freetv.fun/live/imam-hussein-tv-2-2.m3u8,,IMAM HUSSEIN 2 TV,Iran,Iran,https://epg.pw/media/,Other,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,2.947
[VGA]ebs 1,https://t.freetv.fun/live/ebs-1-1.m3u8,,EBS,Korea,Korea,https://epg.pw/media/images/channel/2022/09/30/large/20220930173328314305_74.jpg,Generic,720x400,freetv-fun-all.txt,19,403,成功,h264,720x400,29.97002997002997,有音频,1.595
[HD]cgtn,https://t.freetv.fun/live/cgtn-1.m3u8,,CGTN(Spain),Spain,Spain,https://epg.pw/media/uploads/tmp_logo/2018/05/16/20180516070123835480_63.jpg,News,1280x720,freetv-fun-all.txt,21,403,成功,h264,1280x720,25.0,有音频,0.936
[BD]ru.tv,https://t.freetv.fun/live/ru-tv-1.m3u8,,RU TV,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2014/05/23/20140523215106359917_70.jpg,Other,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,3.585
[HD]life tv,https://t.freetv.fun/live/life-tv.m3u8,,Hard Life TV,Russia,Russia,https://epg.pw/media/images/channel/2022/05/06/large/20220506174200364717_15.png,Entertainment,1280x720,freetv-fun-all.txt,18,403,成功,h264,1280x720,25.0,有音频,6.590
[BD]ginx esports tv,https://t.freetv.fun/live/ginx-esports-tv-9.m3u8,,GINX Esports TV,United Kingdom,United Kingdom,https://epg.pw/media/images/channel/2021/11/07/large/20211107010602834534_73.png,Sports,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,30.0,有音频,9.943
[BD]popc,https://t.freetv.fun/live/popc-1.m3u8,,Popc,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/08/13/large/20240813015310724171_63.png,Movies,1024x576,freetv-fun-all.txt,20,403,成功,hevc,1024x576,25.0,有音频,1.645
[BD]fubo sports network,https://t.freetv.fun/live/fubo-sports-network.m3u8,,FUBO SPORTS,United States,United States,https://epg.pw/media/images/channel/2022/08/21/large/20220821135427338894_28.png,Sports,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,29.97002997002997,有音频,2.474
[BD]looloo kids tv,https://t.freetv.fun/live/looloo-kids-tv.m3u8,,KIDS-TV,Korea,Korea,https://epg.pw/media/uploads/tmp_logo/2017/11/05/20171105153412849440_29.jpg,Kids,1920x1080,freetv-fun-all.txt,12,403,成功,h264,1920x1080,29.97002997002997,有音频,5.486
[SD]paramount movie channel,https://t.freetv.fun/live/paramount-movie-channel.m3u8,,MOVIE MOVIE,Hong Kong,Hong Kong,https://epg.pw/media/images/channel/2024/04/15/large/20240415121455440051_22.png,Movies,426x240,freetv-fun-all.txt,22,403,成功,h264,426x240,30.0,有音频,1.810
[BD]clan internacional,https://t.freetv.fun/live/clan-internacional.m3u8,465021,CNN International,United States,United States,https://epg.pw/media/images/channel/2019/01/12/large/20190112195825903374_64.png,News,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,25.0,有音频,4.437
[VGA]kuwait tv news,https://t.freetv.fun/live/kuwait-tv-news.m3u8,,KUWAIT,Kuwait,Kuwait,https://epg.pw/media/images/channel/2016/01/22/large/20160122025934174886_73.png,Generic,480x360,freetv-fun-all.txt,297,403,成功,h264,480x360,25.0,有音频,5.934
[BD]ช่อง dove channel,https://t.freetv.fun/live/ch-ng-dove-channel.m3u8,,Dove Channel,United States,United States,https://epg.pw/media/images/channel/2024/04/04/large/20240404163629779537_48.png,Movies,384x216,freetv-fun-all.txt,18,403,成功,h264,384x216,29.97002997002997,有音频,2.165
[BD]ntv,https://t.freetv.fun/live/ntv-2.m3u8,12244,NTV HD,Mongolia,Mongolia,https://epg.pw/media/uploads/tmp_logo/2017/03/25/20170325213913711970_32.jpg,News,,freetv-fun-all.txt,22,403,成功,h264,,,有音频,7.695
[HD]travelxp france,https://t.freetv.fun/live/travelxp-france.m3u8,,France 2,France,France,https://epg.pw/media/uploads/tmp_logo/2014/06/01/20140601220752317893_19.png,Generic,1280x720,freetv-fun-all.txt,26,403,成功,h264,1280x720,29.97002997002997,有音频,3.504
[HD]pbs kids pacific,https://t.freetv.fun/live/pbs-kids-pacific.m3u8,,PBS Kids,United States,United States,https://epg.pw/media/uploads/tmp_logo/2018/09/15/20180915122746104734_93.png,Kids,416x234,freetv-fun-all.txt,18,403,成功,h264,416x234,29.97002997002997,有音频,2.101
[VGA]relax 5,https://t.freetv.fun/live/relax-5.m3u8,,Relax TV Czech Republic,Czech,Czech,https://epg.pw/media/,Generic,1920x1080,freetv-fun-all.txt,19,403,成功,h264,1920x1080,29.97002997002997,有音频,1.748
[BD]kika ⓖ,https://t.freetv.fun/live/kika-g.m3u8,,KiKA,Germany,Germany,https://epg.pw/media/images/channel/2017/07/17/large/20170717220340396292_28.png,Kids,960x540,freetv-fun-all.txt,20,403,成功,h264,960x540,50.0,有音频,13.309
[BD]rudaw tv,https://t.freetv.fun/live/rudaw-tv.m3u8,,Rudaw HD TV,Kurdistan,Kurdistan,https://epg.pw/media/,Generic,426x240,freetv-fun-all.txt,15,403,成功,h264,426x240,25.0,有音频,5.212
[HD]pbs kids alaska,https://t.freetv.fun/live/pbs-kids-alaska.m3u8,,PBS Kids,United States,United States,https://epg.pw/media/uploads/tmp_logo/2018/09/15/20180915122746104734_93.png,Kids,416x234,freetv-fun-all.txt,21,403,成功,h264,416x234,29.97002997002997,有音频,1.267
[BD]cnbc arabiya,https://t.freetv.fun/live/cnbc-arabiya.m3u8,,CNBC Arabic,United Arab Emirates,United Arab Emirates,https://epg.pw/media/images/channel/2015/11/28/large/20151128115803085876_46.jpg,News,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,25.0,有音频,6.945
[VGA]minika çocuk,https://t.freetv.fun/live/minika-cocuk-1.m3u8,,MinikaÇOCUK,Türkiye,Türkiye,https://epg.pw/media/images/channel/2021/10/16/large/20211016152155254946_76.png,Kids,854x480,freetv-fun-all.txt,16,403,成功,h264,854x480,25.0,有音频,3.541
[BD]lg 1 spotlight,https://t.freetv.fun/live/lg-1-spotlight.m3u8,,Film 1 Spotlight Netherlands,Netherlands,Netherlands,https://epg.pw/media/images/channel/2015/11/30/large/20151130164053852650_51.jpg,Entertainment,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,30.0,有音频,3.315
[BD]california music channel usa,https://t.freetv.fun/live/california-music-channel-usa.m3u8,,California Music Channel,United States,United States,https://epg.pw/media/images/channel/2019/01/06/large/20190106151417112281_33.png,Entertainment,1920x1080,freetv-fun-all.txt,24,403,成功,h264,1920x1080,29.97002997002997,有音频,2.915
[BD]ช่อง jupiter shop channel,https://t.freetv.fun/live/ch-ng-jupiter-shop-channel.m3u8,,Jupiter Shop Channel,Japan,Japan,https://epg.pw/media/images/channel/2021/12/12/large/20211212021011582910_71.png,Other,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,29.97002997002997,有音频,1.499
[SD]radio 51 tv,https://t.freetv.fun/live/radio-51-tv.m3u8,,RADIO 105 TV,Italy,Italy,https://epg.pw/media/img/logo/1_121.jpg,Entertainment,720x576,freetv-fun-all.txt,21,403,成功,h264,720x576,50.0,有音频,3.145
[BD]ntk tv,https://t.freetv.fun/live/ntk-tv.m3u8,,NET TV,Kurdistan,Kurdistan,https://epg.pw/media/images/channel/2022/05/06/large/20220506173945800787_75.png,Other,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,50.0,有音频,2.389
[HD]nrb tv,https://t.freetv.fun/live/nrb-tv-1.m3u8,,RBK TV,Russia,Russia,https://epg.pw/media/uploads/tmp_logo/2014/05/23/20140523214811494393_30.jpg,Other,1280x720,freetv-fun-all.txt,13,403,成功,h264,1280x720,29.97002997002997,有音频,1.763
