频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[HD]arvan tv,https://t.freetv.fun/live/arvan-tv.m3u8,,Mara TV,Malaysia,Malaysia,https://epg.pw/media/images/channel/2022/02/10/large/20220210222252166727_36.png,Other,1280x720,freetv-fun-all.txt,288,403,成功,h264,1280x720,25.0,有音频,4.486
[HD]entella tv,https://t.freetv.fun/live/entella-tv-1.m3u8,,Estrella TV,United States,United States,https://epg.pw/media/images/channel/2024/04/04/large/20240404163520450680_81.png,Entertainment,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,25.0,有音频,3.540
[VGA]itn,https://t.freetv.fun/live/itn.m3u8,,ITN SriLanka,Sri lanka,Sri lanka,https://epg.pw/media/uploads/tmp_logo/2015/03/19/20150319113422624466_33.jpg,Generic,640x360,freetv-fun-all.txt,17,403,成功,h264,640x360,29.97002997002997,有音频,2.131
[BD]red bull tv,https://t.freetv.fun/live/red-bull-tv-3.m3u8,,Red Bull TV,United Kingdom,United Kingdom,https://epg.pw/media/images/channel/2022/05/16/large/20220516155835221115_90.jpg,Sports,384x216,freetv-fun-all.txt,18,403,成功,h264,384x216,29.97002997002997,有音频,4.699
[VGA]ebs kids ⓢ,https://t.freetv.fun/live/ebs-kids-s.m3u8,,EBS Kids,Korea,Korea,https://epg.pw/media/images/channel/2022/12/24/large/20221224163701416076_23.jpeg,Kids,720x400,freetv-fun-all.txt,22,403,成功,h264,720x400,29.97002997002997,有音频,4.605
[SD]hollywire,https://t.freetv.fun/live/hollywire-1.m3u8,,Hollywire,United States,United States,https://epg.pw/media/images/channel/2022/03/18/large/20220318090416418842_22.png,Movies,384x216,freetv-fun-all.txt,22,403,成功,h264,384x216,29.97002997002997,有音频,2.762
[BD]relax 6,https://t.freetv.fun/live/relax-6.m3u8,,Relax TV Czech Republic,Czech,Czech,https://epg.pw/media/,Generic,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,29.97002997002997,有音频,3.503
[BD]prosieben,https://t.freetv.fun/live/prosieben.m3u8,,PROSIEBEN 7 HD,Germany,Germany,https://epg.pw/media/images/channel/2017/07/17/large/20170717231928097259_44.png,Generic,1920x1080,freetv-fun-all.txt,17,403,成功,h264,1920x1080,25.0,有音频,2.949
[VGA]ebs plus 2,https://t.freetv.fun/live/ebs-plus-2-1.m3u8,,EBS Plus 2,Korea,Korea,https://epg.pw/media/images/channel/2022/12/24/large/20221224164925687381_59.jpeg,News,720x400,freetv-fun-all.txt,17,403,成功,h264,720x400,29.97002997002997,有音频,1.807
[HD]history hit,https://t.freetv.fun/live/history-hit-1.m3u8,,History(USA),United States,United States,https://epg.pw/media/images/channel/2022/05/23/large/20220523014634644875_63.jpg,Knowledge,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,25.0,有音频,3.428
