频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
Tal TV,https://mediaserver1.castpin.com/hls/taltv/index.m3u8,TalTV.ne@SD,,,,https://i.imgur.com/KWMP0t1.png,Entertainment,1920x1080,iptv-org-all.txt,1207,200,成功,h264,1920x1080,25.0,有音频,6.124,是,否,1.0000,
TCS+ (480p) [Not 24/7],https://telecorporacion.cdn.vustreams.com/live/19b307cf-3f2d-44cb-bce6-0fd65365c56a/live.isml/live.m3u8,TCSPlus.sv@SD,,,,https://i.imgur.com/iYFWG06.png,General,854x480,iptv-org-all.txt,1055,503,成功,h264,854x480,30.0,有音频,1.106,是,否,1.0000,
