频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
Canal 6 (480p) [Not 24/7],https://telecorporacion.cdn.vustreams.com/live/b164ebe7-decf-4a5a-8aea-5bb56fb92dfc/live.isml/live.m3u8,Canal6.sv@SD,,,,https://i.imgur.com/M4muPLK.png,General,,iptv-org-all.txt,2603,503,成功,h264,,,有音频,2.239,是,否,1.0000,
Canal 2 (480p) [Not 24/7],https://telecorporacion-es.cdn.vustreams.com/live/d3e259fa-736d-46b0-b1c9-71caf946ace9/live.isml/live.m3u8,Canal2.sv@SD,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Canal_2_TCS.png/512px-Canal_2_TCS.png,General,640x360,iptv-org-all.txt,1160,503,成功,h264,640x360,30.0,无音频,1.624,是,否,1.0000,
Blast Sports (1080p),https://amg19223-amg19223c1-amgplt0351.playout.now3.amagi.tv/playlist/amg19223-amg19223c1-amgplt0351/playlist.m3u8,BlastSports.ph@SD,,,,https://i.imgur.com/OTgENko.png,Sports,854x480,iptv-org-all.txt,1002,200,成功,h264,854x480,29.97002997002997,有音频,4.565,是,否,1.0000,
Bloomberg TV + (2160p),https://66e4bbba.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/TEctZ2JfQmxvb21iZXJnVFZQbHVzX0hMUw/playlist.m3u8,BloombergTV.us@Plus,,,,https://i.imgur.com/OuogLHx.png,Business,1280x720,iptv-org-all.txt,1637,200,成功,hevc,1280x720,59.94005994005994,有音频,4.167,是,否,1.0000,
