频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间,是否假源,是否轮回,轮回相似度,检测信息
DerryTV 17,https://livestream.telvue.com/derrynh1/f7b44cfafd5c52223d5498196c8a2e7b.sdp/playlist.m3u8,DerryTV17.us@SD,,,,https://i.imgur.com/MRR6UL3.png,Legislative,416x234,iptv-org-all.txt,1183,200,成功,h264,416x234,29.97002997002997,有音频,6.124,是,否,1.0000,
Cherifla TV (360p),http://69.64.57.208/cherifla/playlist.m3u8,CheriflaTV.ml@SD,,,,https://i.imgur.com/V8nuoEW.png,General,600x480,iptv-org-all.txt,29,200,成功,h264,600x480,25.0,有音频,0.438,是,否,1.0000,
