频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,检测次数,动态级别,平均抓帧时间,抓帧失败次数,出现最多次数phash的次数,出现最多次数的phash值
荆门教育频道,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,245,200,成功,h264,1920x1080,25.0,有音频,2.498,16,215,3.057476601,0,6,a7878d0d2672f0f8
荆门公共频道,http://stream.jmtv.com.cn/ngpd/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,247,200,成功,h264,1920x1080,25.0,有音频,1.639,16,0,2.202534760000011,0,48,8282202020202082
元宝山综合,http://l2yx82zv.live2.danghongyun.com/live/hls/8be0890a1b0c4d7aaf80b51ea8646682/5a8988f5ecc64986a19aa9b6b3a052a6-1.m3u8,,,,,,内蒙古,1920x1080,zbefine.txt,1021,200,成功,h264,1920x1080,30.0,有音频,2.955,16,253,4.046958189500003,3,9,de01000170fefefe
富裕综合,http://221.209.44.174:1980/hls/1001.m3u8,,,,,,黑龙江,1920x1080,zbefine.txt,497,200,成功,h264,1920x1080,29.97002997002997,有音频,2.241,16,262,2.495306179666651,0,6,f0cd17926f635864
永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,275,200,成功,h264,720x576,25.0,有音频,3.323,16,301,3.069371210999975,0,3,f4b1b0a68de42a6e
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8,,,,,,湖北,1920x1080,zbefine.txt,999,200,成功,h264,1920x1080,25.0,有音频,3.602,16,237,2.6656016246666545,0,6,88d5a3d7ccb95232
句容影视频道,http://jrlive.jrntv.com/live/_definst_/yingshis/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,302,200,成功,h264,720x576,25.0,有音频,4.282,16,0,5.575414004333311,0,48,cadf514a505f447a
句容党建频道,http://jrlive.jrntv.com/live/_definst_/dangjians/playlist.m3u8,,,,,,江苏,720x576,zbefine.txt,307,200,成功,h264,720x576,25.0,有音频,4.336,16,213,5.096305687000021,0,12,cadf514a505f447a
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv,,,,,,广东,1920x1080,zbefine.txt,1327,200,成功,h264,1920x1080,25.0,有音频,4.012,16,408,7.881219318999986,3,48,
丰宁综合频道,https://jwcdnqx.hebyun.com.cn/live/fengningzonghe/1500k/tzwj_video.m3u8,,,,,,河北,1920x1080,zbefine.txt,420,200,成功,h264,1920x1080,30.0,有音频,5.269,15,152,4.876036654000018,0,9,906478563aa9c7b7
黎城综合频道,http://111.53.96.67:8081/live/1/index.m3u8,,,,,,山西,1920x1080,zbefine.txt,405,200,成功,h264,1920x1080,25.0,有音频,1.937,16,0,2.1815068056666482,0,48,92da6d35cbcc922a
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8,,,,,,重庆,1920x1080,zbefine.txt,505,200,成功,h264,1920x1080,25.0,有音频,3.405,16,309,8.498930481666642,0,15,
松原公共频道,http://stream8.jlntv.cn/sytv2/sd/live.m3u8,,,,,,吉林,720x576,zbefine.txt,1785,200,成功,h264,720x576,25.0,有音频,2.981,16,240,3.579575513000028,0,14,9ac96530f1e7d238
