原始名,标准名,分组,是否已维护,本次匹配次数,原分组,原国家分组,原语言分组
[HD]cbs news colorado (720p),Cbs News Colorado,国际频道,是,0,,,
CBS News Detroit (720p),CBS News Detroit,国际频道,是,0,,,
[HD]cbs news los angeles (720p),Cbs News Los Angeles,国际频道,是,0,,,
CBS News Miami (720p),CBS News Miami,国际频道,是,1,News,,
CBS News Minnesota (720p),CBS News Minnesota,国际频道,是,0,,,
CBS News New York (720p),CBS News New York,国际频道,是,0,,,
CBS News Philadelphia (720p),CBS News Philadelphia,国际频道,是,1,Undefined,,
CBS News Pittsburgh (720p),CBS News Pittsburgh,国际频道,是,0,,,
CBS News Sacramento (720p),CBS News Sacramento,国际频道,是,1,News,,
[HD]cbs news texas[geo-blocked],CBS News Texas,国际频道,是,1,Undefined,,
[HD]cbs news *wj,CBS News,国际频道,是,10,,,
[HD]cbs (wcbs) new york,CBS News New York,国际频道,是,0,,,
CBS Sports Golazo Network,CBS Sports,国际频道,是,2,Sports,,
CBS Sports HQ,CBS Sports,国际频道,是,2,Sports,,
[HD]cbs sports network =,CBS Sports,国际频道,是,2,,,
CBS Sports Network USA,CBS Sports,国际频道,是,2,,,
[BD]cctv-01,CCTV1,央视频道,是,27,,,
[BD]cctv-03,CCTV3,央视频道,是,33,,,
[SD]cctv-04,CCTV4,央视频道,是,30,,,
[SD]cctv-07,CCTV7,央视频道,是,29,,,
[BD]cctv-08,CCTV8,央视频道,是,32,,,
[BD]cctv-09,CCTV9,央视频道,是,32,,,
cctv1,CCTV1,央视频道,是,27,📺央视频道,,
cctv10,CCTV10,央视频道,是,33,📺央视频道,,
[BD]cctv10 8m1080,CCTV10,央视频道,是,33,,,
[BD]cctv10-gq,CCTV10,央视频道,是,33,,,
[BD]cctv10hd,CCTV10,央视频道,是,33,,,
CCTV-10 科教,CCTV10,央视频道,是,33,,,
[BD]cctv-10高清,CCTV10,央视频道,是,33,,,
cctv11,CCTV11,央视频道,是,30,📺央视频道,,
[BD]cctv11 3.5m1080,CCTV11,央视频道,是,30,,,
[BD]cctv11 8m1080,CCTV11,央视频道,是,30,,,
[BD]cctv11hd,CCTV11,央视频道,是,30,,,
CCTV-11 戏曲,CCTV11,央视频道,是,30,,,
cctv12,CCTV12,央视频道,是,28,📺央视频道,,
[BD]cctv12 2.5m1080,CCTV12,央视频道,是,28,,,
[BD]cctv12 8m1080,CCTV12,央视频道,是,28,,,
[BD]cctv12-gq,CCTV12,央视频道,是,28,,,
[BD]cctv12hd,CCTV12,央视频道,是,28,,,
[BD]cctv12 *wj,CCTV12,央视频道,是,28,,,
CCTV-12 社会与法,CCTV12,央视频道,是,28,,,
[BD]cctv-12高清,CCTV12,央视频道,是,28,,,
cctv13,CCTV13,央视频道,是,29,📺央视频道,,
[BD]cctv13 4m1080,CCTV13,央视频道,是,29,,,
[BD]cctv13-gq,CCTV13,央视频道,是,29,,,
[BD]cctv13hd,CCTV13,央视频道,是,29,,,
CCTV-13 新闻,CCTV13,央视频道,是,29,,,
cctv14,CCTV14,央视频道,是,28,📺央视频道,,
[BD]cctv14 2.5m1080,CCTV14,央视频道,是,28,,,
[BD]cctv14 8m1080,CCTV14,央视频道,是,28,,,
[BD]cctv14-gq,CCTV14,央视频道,是,28,,,
[BD]cctv14hd,CCTV14,央视频道,是,28,,,
[BD]cctv14 *wj,CCTV14,央视频道,是,28,,,
CCTV-14 少儿,CCTV14,央视频道,是,28,,,
[BD]cctv-14高清,CCTV14,央视频道,是,28,,,
cctv15,CCTV15,央视频道,是,28,📺央视频道,,
[BD]cctv15 1.5m1080,CCTV15,央视频道,是,28,,,
[BD]cctv15 3.5m1080,CCTV15,央视频道,是,28,,,
[BD]cctv15-gq,CCTV15,央视频道,是,28,,,
[BD]cctv15hd,CCTV15,央视频道,是,28,,,
CCTV-15 音乐,CCTV15,央视频道,是,28,,,
[BD]cctv-15高清,CCTV15,央视频道,是,28,,,
CCTV16,CCTV16,央视频道,是,18,📺央视频道,,
[BD]cctv16hd,CCTV16,央视频道,是,18,,,
CCTV17,CCTV17,央视频道,是,22,📺央视频道,,
[BD]cctv17 4m1080,CCTV17,央视频道,是,22,,,
[BD]cctv17 8m1080,CCTV17,央视频道,是,22,,,
[BD]cctv17-gq,CCTV17,央视频道,是,22,,,
[BD]cctv17hd,CCTV17,央视频道,是,22,,,
CCTV-17 农业农村,CCTV17,央视频道,是,22,,,
[BD]cctv1 8m1080,CCTV1,央视频道,是,27,,,
[BD]cctv1-gq,CCTV1,央视频道,是,27,,,
[BD]cctv1hd,CCTV1,央视频道,是,27,,,
CCTV-1 综合,CCTV1,央视频道,是,27,,,
[BD]cctv-1高清[geo-blocked],CCTV1,央视频道,是,27,,,
cctv2,CCTV2,央视频道,是,29,📺央视频道,,
[BD]cctv2 4m1080,CCTV2,央视频道,是,29,,,
[BD]cctv2 8m1080,CCTV2,央视频道,是,29,,,
[BD]cctv2-gq,CCTV2,央视频道,是,29,,,
[BD]cctv2hd,CCTV2,央视频道,是,29,,,
CCTV-2 财经,CCTV2,央视频道,是,29,,,
[BD]cctv-2高清,CCTV2,央视频道,是,29,,,
cctv3,CCTV3,央视频道,是,33,📺央视频道,,
[BD]cctv3 8m1080,CCTV3,央视频道,是,33,,,
[BD]cctv3-gq,CCTV3,央视频道,是,33,,,
[BD]cctv3hd,CCTV3,央视频道,是,33,,,
