﻿频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,帧率,音频,ffprobe探测时间,fake_score,loop_score
北京-水长城01,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8?contentid=2820180516001,,,,,,景区,1280x720,zbefine.txt,2801,200,成功,h264,25.0,有音频,4.595,6,6
鸣沙山,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8,,,,,,,1280x720,CCSH.txt,291,200,成功,h264,25.0,有音频,9.883,6,6
黄山卧云峰,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8,,,,,,,1920x1080,CCSH.txt,289,200,成功,h264,25.0,有音频,5.015,6,6
[BD]澳视综艺,https://t.freetv.fun/live/ao-shi-zong-yi-1.m3u8,,澳視綜藝,Macao,Macao,https://epg.pw/media/images/channel/2022/05/21/large/20220521133414352048_88.jpg,Entertainment,1920x1080,freetv-fun-all.txt,286,403,成功,h264,25.0,有音频,3.883,6,6
Litus TV (720p),https://stream.arcast.com.ar/litustv/ngrp:litustv_all/playlist.m3u8,LitusTV.ar@SD,,,,https://i.imgur.com/QIGSf4L.png,General,416x234,iptv-org-all.txt,566,200,成功,h264,25.0,有音频,5.461,6,6
