频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,帧率,音频,ffprobe探测时间,筛除原因,是否灰区,灰区原因,灰区建议动作,动态值（阈值 ≤ 10）,主phash总出现次数,主phash占比,主phash值,前三主phash重复比例（阈值 ≥ 70%）,锚点一致率-2秒（阈值 ≥ 95%）,锚点一致率-32秒（阈值 ≥ 95%）,静态评分,最近一次动态分,历史动态稳定分,内容集中度分,锚点软加分,当前置信度,历史置信度,首次出现时间
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8,,,,浙江经济生活,浙江经济生活,,,https://www.xn--rgv465a.top/tvlogo/浙江经济生活.png,☘️浙江频道,1920x1080,Guovin.txt,587,200,成功,h264,25.0,有音频,3.143,硬规则命中：高度静态,否,,,0.00,204,1.0000,f877a749d83282d8,100.00%,100.00%,100.00%,100.00,100.00,100.00,100.00,100.00,6,1.0000,2026-08-18 02:10:00
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8,,,,浙江卫视,浙江卫视,,,https://www.xn--rgv465a.top/tvlogo/浙江卫视.png,📡卫视频道,1920x1080,Guovin.txt,685,200,成功,h264,25.0,有音频,1.358,硬规则命中：高度静态,否,,,0.00,126,1.0000,d8f92725270f50d9,100.00%,100.00%,100.00%,100.00,100.00,100.00,100.00,100.00,6,1.0000,2026-08-18 17:16:00
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8,,,,浙江经济生活,浙江经济生活,,,https://www.xn--rgv465a.top/tvlogo/浙江经济生活.png,☘️浙江频道,1920x1080,Guovin.txt,533,200,成功,h264,25.0,有音频,2.109,硬规则命中：高度静态,否,,,0.00,162,0.9643,ec733b84f0463a5c,96.43%,100.00%,100.00%,99.29,100.00,100.00,96.43,100.00,6,0.9643,2026-08-18 17:16:00
嵊泗新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8,,,,,,,,,浙江,720x576,zbefine.txt,1089,200,成功,h264,25.0,有音频,4.708,硬规则命中：高度静态,否,,,0.00,138,0.8519,fac994366b64c84b,85.19%,100.00%,100.00%,97.04,100.00,100.00,85.19,100.00,6,0.8519,2026-08-18 17:16:00
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8,,,,,,,,,浙江,720x576,zbefine.txt,892,200,成功,h264,25.0,有音频,1.788,硬规则命中：高度静态,否,,,0.00,138,0.8214,f11541f1ffcd060c,82.14%,100.00%,100.00%,96.43,100.00,100.00,82.14,100.00,6,0.8214,2026-08-18 17:16:00
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8,,,,,,,,,浙江,1920x1080,zbefine.txt,6437,200,成功,h264,25.0,有音频,4.010,硬规则命中：高度静态,否,,,0.00,132,0.8148,a188fc8913cf3f61,81.48%,100.00%,100.00%,96.30,100.00,100.00,81.48,100.00,6,0.8148,2026-08-18 23:26:00
浙江教育,http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8,,,,浙江教育,浙江教育,,,https://www.xn--rgv465a.top/tvlogo/浙江教育.png,☘️浙江频道,1280x720,Guovin.txt,500,200,成功,h264,25.0,有音频,2.295,硬规则命中：高度静态,否,,,0.00,204,1.0000,dccb73a1f14d84b0,100.00%,100.00%,100.00%,100.00,100.00,100.00,100.00,100.00,6,1.0000,2026-08-18 02:10:00
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?,,,,浙江民生,浙江民生,,,https://www.xn--rgv465a.top/tvlogo/浙江民生.png,☘️浙江频道,1920x1080,Guovin.txt,194,200,成功,h264,25.0,有音频,3.827,硬规则命中：高度静态,否,,,0.00,204,1.0000,d5cbb0a587607f84,100.00%,100.00%,100.00%,100.00,100.00,100.00,100.00,100.00,6,1.0000,2026-08-18 02:10:00
浙江教科,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8,,,,浙江教科,浙江教科,,,https://www.xn--rgv465a.top/tvlogo/浙江教科.png,☘️浙江频道,1920x1080,Guovin.txt,195,200,成功,h264,25.0,有音频,1.720,硬规则命中：高度静态,否,,,0.00,210,1.0000,9be361e71c1991c5,100.00%,100.00%,100.00%,100.00,100.00,100.00,100.00,100.00,6,1.0000,2026-08-18 02:10:00
平湖民生休闲,http://l.cztvcloud.com/channels/lantian/SXpinghu2/720p.m3u8,,,,,,,,,浙江,1280x720,zbefine.txt,923,200,成功,h264,25.0,有音频,3.621,硬规则命中：高度静态,否,,,0.00,120,0.7143,94976b78a5256c6c,71.43%,100.00%,100.00%,94.29,100.00,100.00,71.43,100.00,6,0.7143,2026-08-20 12:01:00
